section,item
supported_resources_count,5
ignored_resources_count,6
supported_terraform_feature,"stackit_server"
supported_terraform_feature,"stackit_postgresqlflex_instance"
supported_terraform_feature,"stackit_objectstorage_bucket"
supported_terraform_feature,"stackit_loadbalancer"
supported_terraform_feature,"variable defaults"
supported_terraform_feature,"locals"
supported_terraform_feature,"simple var/local interpolation"
ignored_or_partial_feature,"stackit_key_pair"
ignored_or_partial_feature,"stackit_postgresqlflex_database"
ignored_or_partial_feature,"stackit_postgresqlflex_user"
ignored_or_partial_feature,"stackit_objectstorage_instance"
ignored_or_partial_feature,"stackit_objectstorage_object"
ignored_or_partial_feature,"nested blocks with full semantics"
ignored_or_partial_feature,"count"
ignored_or_partial_feature,"for_each"
ignored_or_partial_feature,"modules"
ignored_or_partial_feature,"dynamic blocks"
simulated_concept,"Compute nodes as CloudSim VMs"
simulated_concept,"Database presence as additional request penalty"
simulated_concept,"Object storage presence as additional request penalty"
simulated_concept,"Horizontal scaling through VM count"
simulated_concept,"Mixed BottleTube request types"
limitation,"No full Terraform evaluation engine"
limitation,"No provider-complete STACKIT support"
limitation,"No exact database service emulation"
limitation,"No exact object storage/CDN/network latency model"
limitation,"Load balancer is abstracted via broker scheduling"
limitation,"Unsupported resources are ignored, not transformed"
import_warning,"Resource type 'stackit_key_pair' with name 'default' is currently not supported and was ignored."
import_warning,"Resource type 'stackit_postgresqlflex_database' with name 'app' is currently not supported and was ignored."
import_warning,"Resource type 'stackit_postgresqlflex_user' with name 'app' is currently not supported and was ignored."
import_warning,"Resource type 'stackit_objectstorage_instance' with name 'assets' is currently not supported and was ignored."
import_warning,"Resource type 'stackit_objectstorage_object' with name 'static_prefix' is currently not supported and was ignored."
import_warning,"Resource type 'stackit_objectstorage_object' with name 'uploads_prefix' is currently not supported and was ignored."
